Stock*,Open,High,Low,Last*,Vol*
DYNACIA-PA,-,-,-,-,0
DYNACIA-WA,0.05,0.05,0.05,0.05,1500
E&O,0.62,0.63,0.62,0.625,1072
EASTLND,0.115,0.115,0.105,0.115,39784
EATECH,0.13,0.13,0.125,0.125,8159
ECM,-,-,-,-,0
ECOFIRS,0.39,0.395,0.39,0.395,4170
ECOFIRS-WD,0.12,0.125,0.115,0.125,11521
ECOHLDS,0.175,0.18,0.17,0.18,9596
ECONBHD,0.395,0.41,0.39,0.39,68555
ECONBHD-WA,0.07,0.07,0.065,0.065,1318
ECOWLD,0.795,0.805,0.785,0.79,29024
ECOWLD-WA,0.02,0.02,0.015,0.02,4526
EDARAN,0.825,0.825,0.775,0.775,18697
EDEN,0.14,0.145,0.14,0.145,3886
EDGENTA,1.77,1.77,1.75,1.75,622
EFFICEN,0.19,0.19,0.19,0.19,1764
EFORCE,0.505,0.51,0.5,0.505,11016
EG,0.545,0.55,0.535,0.545,9066
EG-PA,-,-,-,-,0
EIG,0.385,0.385,0.38,0.38,1049
EITA,0.84,0.85,0.84,0.845,1114
EITA-WA,0.275,0.275,0.27,0.275,107
EKOVEST,0.39,0.4,0.385,0.39,74936
EKSONS,-,-,-,-,0
ELKDESA,1.35,1.36,1.35,1.36,190
ELSOFT,0.87,0.89,0.87,0.875,6816
EMETALL,0.6,0.61,0.59,0.605,3260
EMICO,0.415,0.425,0.4,0.4,69336
ENCORP,0.64,0.645,0.625,0.635,87039
ENGKAH,0.61,0.61,0.61,0.61,95
ENGKAH-WB,-,-,-,-,0
ENGTEX,0.63,0.64,0.625,0.64,13488
ENGTEX-WB,0.195,0.2,0.195,0.195,1586
ENRA,0.8,0.8,0.785,0.785,233
ENRA-WA,0.175,0.18,0.175,0.18,33
EPMB,0.465,0.465,0.455,0.46,3132
EUPE,0.815,0.815,0.815,0.815,30
EURO,0.48,0.49,0.47,0.47,42353
EUROSP,1.29,1.42,1.28,1.42,4048
EVERGRN,0.395,0.4,0.39,0.39,4407
EWEIN,0.325,0.325,0.32,0.325,3898
EWEIN-WB,0.05,0.05,0.045,0.045,2390
EWINT,0.45,0.45,0.43,0.435,22076
EWINT-WA,0.01,0.015,0.01,0.01,10356
F&N,26.64,26.88,26.6,26.7,1779
FACBIND,1.38,1.38,1.36,1.36,32
FAJAR,0.395,0.405,0.395,0.4,14393
FAJAR-OR,0.385,0.415,0.385,0.405,25939
FAREAST,-,-,-,-,0
FARLIM,0.27,0.28,0.27,0.27,518
FAVCO,2.31,2.32,2.29,2.32,705
FCW,1.05,1.05,1.05,1.05,72
FGV,1.36,1.36,1.35,1.36,1289
FIAMMA,0.61,0.625,0.61,0.61,579
FIBON,0.475,0.48,0.47,0.47,1020
FIHB,0.63,0.63,0.615,0.625,15066
FIHB-PA,-,-,-,-,0
FIHB-PB,-,-,-,-,0
FIMACOR,1.88,1.88,1.87,1.88,73
FITTERS,0.405,0.405,0.39,0.39,78447
FLBHD,0.9,0.9,0.895,0.9,329
FPGROUP,0.775,0.78,0.775,0.775,3726
